1. the number of 3-dimensional subspaces of the vector space Z_2^5 over Z_2 is 155
2. A basis of each such subspace is:
((0, 0, 0, 0, 1), (0, 0, 0, 1, 0), (0, 0, 1, 0, 0))
((0, 0, 0, 0, 1), (0, 0, 0, 1, 0), (0, 1, 0, 0, 0))
((0, 0, 0, 0, 1), (0, 0, 0, 1, 0), (0, 1, 1, 0, 0))
((0, 0, 0, 0, 1), (0, 0, 0, 1, 0), (1, 0, 0, 0, 0))
((0, 0, 0, 0, 1), (0, 0, 0, 1, 0), (1, 0, 1, 0, 0))
((0, 0, 0, 0, 1), (0, 0, 0, 1, 0), (1, 1, 0, 0, 0))
((0, 0, 0, 0, 1), (0, 0, 0, 1, 0), (1, 1, 1, 0, 0))
((0, 0, 0, 0, 1), (0, 0, 1, 0, 0), (0, 1, 0, 0, 0))
((0, 0, 0, 0, 1), (0, 0, 1, 0, 0), (0, 1, 0, 1, 0))
((0, 0, 0, 0, 1), (0, 0, 1, 0, 0), (1, 0, 0, 0, 0))
((0, 0, 0, 0, 1), (0, 0, 1, 0, 0), (1, 0, 0, 1, 0))
((0, 0, 0, 0, 1), (0, 0, 1, 0, 0), (1, 1, 0, 0, 0))
((0, 0, 0, 0, 1), (0, 0, 1, 0, 0), (1, 1, 0, 1, 0))
((0, 0, 0, 0, 1), (0, 0, 1, 1, 0), (0, 1, 0, 0, 0))
((0, 0, 0, 0, 1), (0, 0, 1, 1, 0), (0, 1, 0, 1, 0))
((0, 0, 0, 0, 1), (0, 0, 1, 1, 0), (1, 0, 0, 0, 0))
((0, 0, 0, 0, 1), (0, 0, 1, 1, 0), (1, 0, 0, 1, 0))
((0, 0, 0, 0, 1), (0, 0, 1, 1, 0), (1, 1, 0, 0, 0))
((0, 0, 0, 0, 1), (0, 0, 1, 1, 0), (1, 1, 0, 1, 0))
((0, 0, 0, 0, 1), (0, 1, 0, 0, 0), (1, 0, 0, 0, 0))
((0, 0, 0, 0, 1), (0, 1, 0, 0, 0), (1, 0, 0, 1, 0))
((0, 0, 0, 0, 1), (0, 1, 0, 0, 0), (1, 0, 1, 0, 0))
((0, 0, 0, 0, 1), (0, 1, 0, 0, 0), (1, 0, 1, 1, 0))
((0, 0, 0, 0, 1), (0, 1, 0, 1, 0), (1, 0, 0, 0, 0))
((0, 0, 0, 0, 1), (0, 1, 0, 1, 0), (1, 0, 0, 1, 0))
((0, 0, 0, 0, 1), (0, 1, 0, 1, 0), (1, 0, 1, 0, 0))
((0, 0, 0, 0, 1), (0, 1, 0, 1, 0), (1, 0, 1, 1, 0))
((0, 0, 0, 0, 1), (0, 1, 1, 0, 0), (1, 0, 0, 0, 0))
((0, 0, 0, 0, 1), (0, 1, 1, 0, 0), (1, 0, 0, 1, 0))
((0, 0, 0, 0, 1), (0, 1, 1, 0, 0), (1, 0, 1, 0, 0))
((0, 0, 0, 0, 1), (0, 1, 1, 0, 0), (1, 0, 1, 1, 0))
((0, 0, 0, 0, 1), (0, 1, 1, 1, 0), (1, 0, 0, 0, 0))
((0, 0, 0, 0, 1), (0, 1, 1, 1, 0), (1, 0, 0, 1, 0))
((0, 0, 0, 0, 1), (0, 1, 1, 1, 0), (1, 0, 1, 0, 0))
((0, 0, 0, 0, 1), (0, 1, 1, 1, 0), (1, 0, 1, 1, 0))
((0, 0, 0, 1, 0), (0, 0, 1, 0, 0), (0, 1, 0, 0, 0))
((0, 0, 0, 1, 0), (0, 0, 1, 0, 0), (0, 1, 0, 0, 1))
((0, 0, 0, 1, 0), (0, 0, 1, 0, 0), (1, 0, 0, 0, 0))
((0, 0, 0, 1, 0), (0, 0, 1, 0, 0), (1, 0, 0, 0, 1))
((0, 0, 0, 1, 0), (0, 0, 1, 0, 0), (1, 1, 0, 0, 0))
((0, 0, 0, 1, 0), (0, 0, 1, 0, 0), (1, 1, 0, 0, 1))
((0, 0, 0, 1, 0), (0, 0, 1, 0, 1), (0, 1, 0, 0, 0))
((0, 0, 0, 1, 0), (0, 0, 1, 0, 1), (0, 1, 0, 0, 1))
((0, 0, 0, 1, 0), (0, 0, 1, 0, 1), (1, 0, 0, 0, 0))
((0, 0, 0, 1, 0), (0, 0, 1, 0, 1), (1, 0, 0, 0, 1))
((0, 0, 0, 1, 0), (0, 0, 1, 0, 1), (1, 1, 0, 0, 0))
((0, 0, 0, 1, 0), (0, 0, 1, 0, 1), (1, 1, 0, 0, 1))
((0, 0, 0, 1, 0), (0, 1, 0, 0, 0), (1, 0, 0, 0, 0))
((0, 0, 0, 1, 0), (0, 1, 0, 0, 0), (1, 0, 0, 0, 1))
((0, 0, 0, 1, 0), (0, 1, 0, 0, 0), (1, 0, 1, 0, 0))
((0, 0, 0, 1, 0), (0, 1, 0, 0, 0), (1, 0, 1, 0, 1))
((0, 0, 0, 1, 0), (0, 1, 0, 0, 1), (1, 0, 0, 0, 0))
((0, 0, 0, 1, 0), (0, 1, 0, 0, 1), (1, 0, 0, 0, 1))
((0, 0, 0, 1, 0), (0, 1, 0, 0, 1), (1, 0, 1, 0, 0))
((0, 0, 0, 1, 0), (0, 1, 0, 0, 1), (1, 0, 1, 0, 1))
((0, 0, 0, 1, 0), (0, 1, 1, 0, 0), (1, 0, 0, 0, 0))
((0, 0, 0, 1, 0), (0, 1, 1, 0, 0), (1, 0, 0, 0, 1))
((0, 0, 0, 1, 0), (0, 1, 1, 0, 0), (1, 0, 1, 0, 0))
((0, 0, 0, 1, 0), (0, 1, 1, 0, 0), (1, 0, 1, 0, 1))
((0, 0, 0, 1, 0), (0, 1, 1, 0, 1), (1, 0, 0, 0, 0))
((0, 0, 0, 1, 0), (0, 1, 1, 0, 1), (1, 0, 0, 0, 1))
((0, 0, 0, 1, 0), (0, 1, 1, 0, 1), (1, 0, 1, 0, 0))
((0, 0, 0, 1, 0), (0, 1, 1, 0, 1), (1, 0, 1, 0, 1))
((0, 0, 0, 1, 1), (0, 0, 1, 0, 0), (0, 1, 0, 0, 0))
((0, 0, 0, 1, 1), (0, 0, 1, 0, 0), (0, 1, 0, 0, 1))
((0, 0, 0, 1, 1), (0, 0, 1, 0, 0), (1, 0, 0, 0, 0))
((0, 0, 0, 1, 1), (0, 0, 1, 0, 0), (1, 0, 0, 0, 1))
((0, 0, 0, 1, 1), (0, 0, 1, 0, 0), (1, 1, 0, 0, 0))
((0, 0, 0, 1, 1), (0, 0, 1, 0, 0), (1, 1, 0, 0, 1))
((0, 0, 0, 1, 1), (0, 0, 1, 0, 1), (0, 0, 1, 1, 0))
